event_id,year,event_label,geography,metric,baseline_stratum,full_valid_population_denominator,stratum_population,stratum_population_fraction,additive_population_weighted_contribution,full_population_weighted_contribution,stratum_share_of_project_contribution
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,D_equal_city,total_opportunity,baseline_covered,38250058.61750648,4952082.071377605,0.10168283221613855,4.244686431230043,16.94356984373663,0.25051901520027886
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,D_equal_city,total_opportunity,baseline_uncovered,38250058.61750648,33297976.546128884,0.8983171677838615,12.698883412506587,16.94356984373663,0.7494809847997213
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,Dongguan,coverage,baseline_covered,10532289.192640668,303789.0819543783,0.0288435948157071,0.0,0.0,
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,Dongguan,coverage,baseline_uncovered,10532289.192640668,10228500.110686291,0.971156405184293,0.0,0.0,
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,Dongguan,cross_city_opportunity,baseline_covered,10532289.192640668,303789.0819543783,0.0288435948157071,0.0,0.0,
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,Dongguan,cross_city_opportunity,baseline_uncovered,10532289.192640668,10228500.110686291,0.971156405184293,0.0,0.0,
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,Dongguan,total_opportunity,baseline_covered,10532289.192640668,303789.0819543783,0.0288435948157071,0.0,0.0,
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,Dongguan,total_opportunity,baseline_uncovered,10532289.192640668,10228500.110686291,0.971156405184293,0.0,0.0,
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,Foshan,coverage,baseline_covered,9678873.784230271,386851.08173624065,0.03996860485633511,0.0,0.0,
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,Foshan,coverage,baseline_uncovered,9678873.784230271,9292022.70249403,0.9600313951436649,0.0,0.0,
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,Foshan,cross_city_opportunity,baseline_covered,9678873.784230271,386851.08173624065,0.03996860485633511,0.0,0.0,
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,Foshan,cross_city_opportunity,baseline_uncovered,9678873.784230271,9292022.70249403,0.9600313951436649,0.0,0.0,
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,Foshan,total_opportunity,baseline_covered,9678873.784230271,386851.08173624065,0.03996860485633511,0.0,0.0,
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,Foshan,total_opportunity,baseline_uncovered,9678873.784230271,9292022.70249403,0.9600313951436649,0.0,0.0,
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,Guangzhou,coverage,baseline_covered,18038895.640635543,4261441.907686986,0.23623629697637344,0.0,0.0017595549599187623,0.0
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,Guangzhou,coverage,baseline_uncovered,18038895.640635543,13777453.732948558,0.7637637030236267,0.0017595549599187623,0.0017595549599187623,1.0
